"Movie","Year","Ratings","Genre","Gross","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments","Aggregate.Followers","asLabel","indicator1"
"13 Sins",2014,6.3,8,9130,4e+06,45,1,0,3280543,4632,425,636,1120000,"Average",1
"3 Days to Kill",2014,6.2,1,30700000,2.8e+07,2872,1,0,304861,328,34,47,483000,"Average",1
"300: Rise of an Empire",2014,6.3,1,1.06e+08,1.1e+08,3470,2,0,452917,2429,132,590,568000,"Average",1
"A Haunted House 2",2014,4.7,8,17300000,3500000,2310,2,0,3145573,12163,610,1082,1923800,"Poor",1
"A Long Way Off",2014,4.6,3,29000,5e+05,NA,1,0,91137,112,7,1,310000,"Poor",1
"A Million Ways to Die in the West",2014,6.1,8,42600000,4e+07,3158,1,0,3013011,9595,419,1020,8153000,"Average",1
"A Walk Among the Tombstones",2014,6.5,10,2.6e+07,2.8e+07,2714,1,3,2213659,2210,419,382,125646,"Good",1
"About Last Night",2014,6.1,8,48600000,12500000,2253,1,0,5218079,11709,532,770,21697300,"Average",1
"American Sniper",2014,7.3,1,3.5e+08,58800000,3555,1,4,3927600,13143,573,3134,24300,"Good",1
"And So It Goes",2014,5.7,8,15200000,3e+07,1762,1,0,519327,963,94,70,386400,"Average",1
"Annabelle",2014,5.4,15,84300000,6500000,3185,1,0,19032902,38810,4382,4392,19420105,"Average",1
"Annie",2014,5.2,8,85900000,6.5e+07,3116,1,0,930006,5150,707,1484,5130800,"Average",1
"Atlas Shrugged: Who Is John Galt?",2014,4.4,3,830000,5e+06,65,3,0,595194,85,36,39,15112,"Poor",1
"Better Living Through Chemistry",2014,6.3,8,72300,5e+06,25,1,0,1391527,2479,146,182,1658900,"Average",1
"Beyond the Lights",2014,6.9,3,14600000,7e+06,31,1,0,1828235,7633,235,685,116100,"Good",1
"Big Hero 6",2014,7.9,12,2.22e+08,1.65e+08,3761,1,29,4700023,14163,538,1293,199800,"Good",1
"Black or White",2014,6.6,3,21600000,9e+06,1823,1,-1,1348142,4404,307,1033,888000,"Good",1
"Blended",2014,6.5,8,46300000,4e+07,3555,1,-2,7977747,18690,1940,2214,2417000,"Good",1
"Boyhood",2014,8,3,25400000,4e+06,771,1,9,1671367,4572,207,741,105000,"Good",1
"Brick Mansions",2014,5.7,1,20300000,2.8e+07,2647,1,0,2088644,6633,255,1235,3209000,"Average",1
"Cake",2014,6.5,3,1870000,7e+06,482,1,2,4398243,9202,454,1150,4769100,"Good",1
"Camp X-Ray",2014,7,3,9840,1e+06,NA,1,3,7128,1,0,0,2182,"Good",1
"Cantinflas",2014,6.7,9,6370000,3e+06,382,1,3,2902492,9522,558,2296,NA,"Good",1
"Captain America: The Winter Soldier",2014,7.8,1,2.6e+08,1.7e+08,3938,2,5,760262,2918,66,837,8030000,"Good",1
"Dawn of the Planet of the Apes",2014,7.7,1,2.09e+08,1.7e+08,3967,2,-4,1735700,6772,187,889,114000,"Good",1
"Deliver Us from Evil",2014,6.2,10,30500000,3e+07,97,1,0,465219,1348,72,162,744600,"Average",1
"Devil's Due",2014,4,15,15800000,7e+06,2544,1,0,1844690,3728,581,729,9536,"Poor",1
"Divergent",2014,6.8,2,1.51e+08,8.5e+07,3936,1,-4,463866,3400,152,987,1030000,"Good",1
"Dolphin Tale 2",2014,6.4,3,4.2e+07,3.6e+07,3376,2,-1,384448,1230,129,228,276750,"Average",1
"Dracula Untold",2014,6.3,1,55900000,7e+07,NA,1,0,9149892,26427,1342,5278,395500,"Average",1
"Dumb and Dumber To",2014,5.8,8,86200000,3.5e+07,3154,3,0,3287020,7698,446,1122,17064000,"Average",1
"Falcon Rising",2014,5.7,1,8690,4500000,NA,1,0,735551,636,98,92,1060000,"Average",1
"Foxcatcher",2014,7.1,9,1210000,2.4e+07,66,1,6,6685088,8369,467,1580,13720000,"Good",1
"God Help the Girl",2014,6.4,3,102000,1850000,8,1,-4,1034480,6490,181,374,66600,"Average",1
"God's Not Dead",2014,5,3,60800000,2e+06,780,1,0,456564,1706,413,890,412000,"Average",1
"God's Pocket",2014,6.1,10,104000,1e+06,3,1,0,99427,47,10,12,NA,"Average",1
"Godzilla",2014,6.5,1,2.01e+08,1.6e+08,3952,1,2,1156609,2968,112,547,1870000,"Good",1
